faq_id,category,question,answer,answer_length,source_code,source_name,source_url,collect_method,orig_msg_seq,view_count,department,content_hash,collected_at
1,준수사항·기타,노후화된 장애인콜택시의 매각절차가 궁금합니다,"○ 장애인콜택시 차량 매각에 대해 안내드립니다.
① 관련근거
- 서울특별시 공무용차량 관리규칙 제8조(차량의 교체)
- 서울특별시 공유재산 및 물품관리 조례 제71조 및 제72조(불용품의 매각 등)
▶ 매각절차 : 매각결정 -> 감정평가 -> 입찰 공고(한국자산관리공사 ""온비드"")
▶ 입찰방법 : 입찰공고 사이트 접속 -> 입찰대상 물건검색 -> 입찰서 작성
○ 연락처 : 장애인콜택시 운행지원팀(☎ 02-2290-6516)",238,board_faq,서울시설공단 장애인콜택시 자주하는질문 게시판,https://www.sisul.or.kr/open_content/calltaxi/bbs/bbsMsgDetail.do?bcd=faq&cate1=calltaxi&msg_seq=288,BeautifulSoup,288,63820.0,복지경제본부,5e257affcece7cb5c18f757a80ba45bc,2026-07-24 20:51:31
2,가입·등록,장애인콜택시를 처음 이용하는 경우 어떻게 신청해야하는지 알고 싶습니다,"○ 장애인콜택시는 등록제로 운영되고 있어 사전에 콜센터로 고객등록을 해주셔야 하며, 등록 및 본인확인 절차는 다음과 같습니다.
▶ 최초 등록 : 유효기간이 지나지 않은 복지카드를 센터로 제출 후 확인된 고객에 한하여 접수가능
- 복지카드만으로 필요정보(장애유형, 장애정도 등) 가 확인이 안되는 경우 추가적으로 최근 3개월 이내 발급된 장애정도결정서,
추가심사결과안내문 제출 필요
- 신규등록 고객 중 서류제출이 어려운 경우(주말 신규등록, 지방에서 상경 등) : 현장에서 복지카드 확인 후 다음 접수 전까지 콜센터에 서류제출
▶ 탑승시 : 운전자 복지카드 현장 확인 후 본인여부 확인 후 이용가능(최초 탑승시 운전자 센터에 고객정보 확인)
※ 제출서류가 모두 확인되지 않은 신규고객은 예약접수 불가
○ 연락처 : 장애인콜택시 콜센터(☎ 1588-4388)",423,board_faq,서울시설공단 장애인콜택시 자주하는질문 게시판,https://www.sisul.or.kr/open_content/calltaxi/bbs/bbsMsgDetail.do?bcd=faq&cate1=calltaxi&msg_seq=242,BeautifulSoup,242,79530.0,복지경제본부,1d32116a9cb1c0bd0127bcb1a24b2656,2026-07-24 20:51:31
3,이용대상·자격,장애인콜택시의 이용자격은 어떻게 되는지 알고 싶습니다,"○ 장애인콜택시의 이용대상은
보행상 장애가 있는
장애정도가 심한(기존 1~3급) 장애인
입니다.
※ 시각 및 신장장애의 경우 휠체어 이용시 가능
※ 복합장애의 경우 주장애, 부장애 중 하나 이상이 신규 이용기준에 준하는 경우 가능
※ 외국인은 휠체어 이용 장애인에 한해 이용이 가능하며, 탑승시 외국인 증빙자료(여권 등) 현장 확인 후 탑승 가능
※ 이동이 어려운 국가유공자 1~2급(유공자확인원) 휠체어 이용시 이용가능
※ 정신적 장애인(지적, 정신, 자폐성)의 경우, 다음 기준에 따라 단독탑승 가능
장애유형및탑승여부
장애 유형
내 용
단독 탑승 가능 여부
중복 장애
정신적 장애로 인해 보행상 장애가 유발되지 않으며,
도로교통을 이용할 때 타인의 지속적인 보호관찰이 필요하지 않은 사람
단독탑승 가능
정신적 장애로 인하여 보행상 장애가 유발되며,
도로교통을 이용할 때 타인의 지속적인 보호관찰이 필요한 사람
단독탑승 제한
(보호자 동승)
단일 장애
정신적 장애로 인하여 보행상 장애가 유발되며,
도로교통을 이용할 때 타인의 지속적인 보호관찰이 필요한 사람
단독탑승 제한
(보호자 동승)
(만 13세미만 어린이, 80세 이상의 고령자, 장애인은 보호자로 인정하지 않습니다.)
○ 연락처 : 장애인콜택시 콜센터(☎ 1588-4388)",635,board_faq,서울시설공단 장애인콜택시 자주하는질문 게시판,https://www.sisul.or.kr/open_content/calltaxi/bbs/bbsMsgDetail.do?bcd=faq&cate1=calltaxi&msg_seq=87,BeautifulSoup,87,103488.0,관리자,e88963e005c68bb16974c836eaff6e5c,2026-07-24 20:51:31
4,배차·대기,장애인콜택시 차량 연결이 지연되고 있습니다,"○ 장애인콜택시의 평균 이용대기 시간은 2020년도 11월 기준 31분이 소요됩니다.
하지만 ① 이용당일 이용접수 폭주 ② 시내 교통혼잡 ③ 기상상태(비, 눈, 안개 등) ④ 도로공사 ⑤ 집회 및 시위 등으로
대기시간이 다소 지연될 수 있으므로 이용시 참조하여 주시기 바랍니다.
○
장애인콜택시 차량은 배차시 접수순서, 대기시간, 거리를 고려하여 배차가 진행되고 있으며
,
고객과 근접한(7km범위이내) 차량을 연결하고 있습니다.
○ 연결지연시 30분 단위로 지연안내 문자를 드리고 있습니다 ※ 2시간 이상 대기 시 먼거리에서도 당겨서 배차
○ 연락처 : 장애인콜택시 콜센터(☎ 1588-4388)",334,board_faq,서울시설공단 장애인콜택시 자주하는질문 게시판,https://www.sisul.or.kr/open_content/calltaxi/bbs/bbsMsgDetail.do?bcd=faq&cate1=calltaxi&msg_seq=144,BeautifulSoup,144,99365.0,관리자,61ca70a890e70d99e6a53fc8209ef33e,2026-07-24 20:51:31
5,준수사항·기타,장애인콜택시 운전원으로 취업을 하려면 어떻게 해야하는지 알고 싶습니다,"○ 장애인콜택시 운전원은 사업여건의 변동에 따라 인력수요가 발생할 때 별도 공고를 통하여 채용을 합니다.
응시자격 및 전형절차 등은 채용을 진행할 때 공단 및 서울시 홈페이지의 게시 공고를 통해 별도로 알리고 있습니다.
○ 공단 홈페이지의 경우 공단소개 - 알림마당 - 채용정보에
채용관련 기본사항(방법, 시기 등) 및 상세 공고내용을 열람하실 수 있으니 참고하시기 바라며,
모집 공고시 사업여건에 따라 전반적인 내용이 검토되어 채용절차 등이 변경될 수 있음을 알려드립니다
○
참고로, 2020년 5월에 모집했던 자격요건을 아래와 같이 게시하오니 참고 하시기 바랍니다.
▶ 자격요건
- 서울특별시 택시운전자격증 소지자(자격취득일이 접수마감일 이전인 경우에 한함)
- 1종 보통이상 자동차운전면허증 소지자
- 공고일 기준 5년 이상 무사고 운전경력자(공고일 이후 ""전체경력""으로 발급된 ""운전경력증명서""만 인정)
- 공고일 기준 3년 이내 운전정밀검사 합격자
※ 서울특별시 택시운전자격증 문의 : 서울특별시 택시운송사업조합(
http://stj.or.kr
)
※ 운전정밀검사 문의 : 교통안전공단(
http://www.ts2020.kr
)
○ 연락처 : 인사노무처 채용담당자(☎ 2290-7241) ※ 인사의 투명성을 위해 인사노무처에 채용을 의뢰",641,board_faq,서울시설공단 장애인콜택시 자주하는질문 게시판,https://www.sisul.or.kr/open_content/calltaxi/bbs/bbsMsgDetail.do?bcd=faq&cate1=calltaxi&msg_seq=91,BeautifulSoup,91,131815.0,관리자,4af396c424f7c7605fa461cfe714ff6b,2026-07-24 20:51:31
6,운행지역·시간,장애인콜택시 운행시간 및 요금수준에 대해 알고 싶습니다,"○ 장애인콜택시는 24시간 연중무휴로 운행하고 있습니다.
○ 이용요금 : 도시철도요금의 3배 이내로 아래와 같습니다.
▶ 기본요금 : 5km까지 1,500원
▶ 추가요금 : 5km초과 10km까지 매 km마다 280원
: 10km초과시 부터 매 km마다 70원
▶ 시간요금 : 시간 및 지역 할증은 없으며, 100원미만 단위는 절사
○ 연락처 : 장애인콜택시 콜센터(☎ 1588-4388)",217,board_faq,서울시설공단 장애인콜택시 자주하는질문 게시판,https://www.sisul.or.kr/open_content/calltaxi/bbs/bbsMsgDetail.do?bcd=faq&cate1=calltaxi&msg_seq=89,BeautifulSoup,89,99224.0,관리자,d83da99985fefc5a7b7cc35bbc5ca697,2026-07-24 20:51:31
7,이용방법·접수,장애인콜택시를 이용하기 위한 접수방법을 알고 싶습니다,"○ 장애인콜택시를 신청하시려면 콜센터(국번없이 1588-4388)에 전화 또는 문자(40자 이내)를 이용하시거나,
인터넷(
http://calltaxi.sisul.or.kr
) , 모바일앱을 통하여 접수하시면 됩니다.
※ 앱- 안드로이드폰(구글 플레이스토어)/아이폰(앱스토어) : '장콜' 혹은 '장애인콜택시' 신청
○ 장애인콜택시의 접수 방식은 크게 바로콜, 예약(전일접수), 정기접수 세가지로 나뉩니다.
▶ 바로콜(원칙) : 이용 시점에 접수
▶ 정기접수 : 정기적으로 같은 시각에, 동일한 출발지에서 동일한 목적지를 이용하는 고객의 신청을 받아 대신 접수해주는 방식(※ 예약제 아님)
- 신청가능 기간 : 최소 1개월부터 최장 6개월
- 1일 2회만 신청이 가능하며, 출발지, 목적지 및 시간변경 불가
- 치료, 재활, 통학, 출근, 귀가 목적으로만 신청가능
▶ 전일접수
- 대 상 : 휠체어를 이용하는 지체·뇌병변 장애정도가 심한 장애인
- 접수방법 : 이용희망시간 24시간 전부터 접수(오전 7시, 8시, 10시에 한하여 시행)
※ 차고지별 이용자가 많을 경우 제한운행이 불가피함을 알려드립니다.
○ 연락처 : 장애인콜택시 콜센터(☎ 1588-4388)",594,board_faq,서울시설공단 장애인콜택시 자주하는질문 게시판,https://www.sisul.or.kr/open_content/calltaxi/bbs/bbsMsgDetail.do?bcd=faq&cate1=calltaxi&msg_seq=88,BeautifulSoup,88,89372.0,관리자,921942d4fc7be5fe378fc07bd7a9ec94,2026-07-24 20:51:31
8,운행지역·시간,장애인콜택시 운행지역은 어디인지 알고 싶습니다,"○ 운행지역은 서울시계내 운행을 원칙으로 하고 있습니다.
단, 서울시 인접 12개지역 및 인천국제공항에 한하여 운행을 하고 있습니다.
- 인접지역 : 부천시, 김포시, 양주시, 고양시, 의정부시, 남양주시, 구리시, 하남시, 성남시, 과천시, 안양시, 광명시
- 수도권지역(도서지역 제외)에 장애인의 재활을 목적으로 설치된 병원에서 진료 및 치료를 목적으로 이동하는 경우 사전에 콜센터의 승인을 얻어 이용할 수 있습니다.
※ 인접지역 및 수도권지역의 운행은 서울시내에서 출발하는 경우만 가능
○ 연락처 : 장애인콜택시 콜센터(☎ 1588-4388)",306,board_faq,서울시설공단 장애인콜택시 자주하는질문 게시판,https://www.sisul.or.kr/open_content/calltaxi/bbs/bbsMsgDetail.do?bcd=faq&cate1=calltaxi&msg_seq=86,BeautifulSoup,86,73691.0,관리자,22e76f7dd5fd882b0568665b022ddaef,2026-07-24 20:51:31
9,가입·등록,장애인콜택시는 어떻게 가입하나요?,"가입방법
장애인콜택시 콜센터(1588-4388) 또는 장애인콜택시 앱
제출서류
이용대상 여부(중증보행장애인) 확인을 위한 증명서류
▶ 복지카드
(성명, 생년월일, 장애유형, 장애정도, 유효기간 표기)
▶ 장애정도결정서
및
장애정도 심사결과 추가안내문
(관할 주소지 주민센터에서 발급)
서류 제출방법
① 팩스(02-2290-6518) 또는 문자전송(1588-4388)
※ 제출 후 이동지원센터 전화(☎1588-4388) 연결 및 ARS를 통한 개인정보 제공 동의 후 이용 가능)
② 장애인콜택시 앱 업로드
유의사항
① 가입 등록 후
2주 안에 관련서류 미제출 시
회원가입 취소될 수 있음
② 개인정보 보호법에 의거, 탑승 기록이 없는 경우에 한해 개인정보 보유기간(3년) 초과 시 고객 정보는 삭제되며,
고객 정보 삭제 이후
다시 이용을 원하는 경우에는 신규로 등록
해야 함
③ 이용 중
고객 정보(장애종류 및 등급, 연락처 등)가 변경되는 경우
에는 반드시 이동지원센터(☎1588-4388)로 고객 정보 변경 요청 필요
※ 정보 변경으로 인해 정확한 고객정보가 확인되지 않는 경우 이용에 제한이 있을 수 있음",564,join,서울시설공단 장애인콜택시 가입안내,https://www.sisul.or.kr/open_content/calltaxi/introduce/join.jsp,BeautifulSoup,,,,62bdd2d81248d8218d52cea8f88e7c34,2026-07-24 20:51:31
10,이용대상·자격,장애인콜택시는 누가 이용할 수 있나요?,"① 「 교통약자의 이동편의 증진법 시행규칙 」 제6조 제1항 및 「 장애인복지법 시행규칙 」 제28조 제1항에 따른 중증보행장애인 (중증장애인이면서 보행상장애가 있는 장애인)
시각 또는 신장장애인은
서울시각장애인 생활·이동지원센터 '복지콜'
(☎1600-4477) 콜택시 이용(원칙) ☞
서울
시각장애인 생활·이동지원센터
홈페이지 바로가기
※ 다만, 휠체어를 이용하거나, '복지콜' 회원등록이 불가한 '중증보행장애인'의 경우 장애인콜택시 회원 등록 후 이용 가능
(복지콜과 장애인콜택시 중복 이용 불가)
정신적 장애인
(지적, 정신, 자폐성)의 경우, 다음 기준에 따라 단독탑승 가능
장애유형및탑승여부
장애 유형
내 용
단독 탑승 가능 여부
중복 장애
정신적 장애로 인해 보행상 장애가 유발되지 않으며,
도로교통을 이용할 때 타인의 지속적인 보호관찰이 필요하지 않은 사람
단독탑승 가능
정신적 장애로 인하여 보행상 장애가 유발되며,
도로교통을 이용할 때 타인의 지속적인 보호관찰이 필요한 사람
단독탑승 제한
(보호자 동승)
단일 장애
정신적 장애로 인하여 보행상 장애가 유발되며,
도로교통을 이용할 때 타인의 지속적인 보호관찰이 필요한 사람
단독탑승 제한
(보호자 동승)
※
위 기준을 충족하는 이용자는 별도 신청 등 절차 없이 단독탑승 가능(단,
2025.2.1. 이전 가입자의 경우
, 단독탑승 희망 시 콜센터(☎1588-4388) 연락 후 자격 확인 요망)
※
보호자는 반드시 가족, 대리인 등일 것을 요하지는 않으나, 만 13세 미만의 아동 및 위 기준에 따라 단독탑승이 제한되는 자는 보호자가 될 수 없음
보행상 장애 미해당자의 경우, 이동지원서비스 종합조사 결과 성인 177점 이상, 아동 145점 이상 시 이용 가능
② 국가유공자 1~2급(상이군경, 공상군경, 공상공무원, 전상군경)
③ 휠체어를 이용하는 장애가 있는 외국인(외국인 증빙자료(여권 등)를 확인 후 탑승)
④ 장애인등급제 폐지(2019년 7월 1일) 이전부터 계속해서 장애인콜택시를 이용해오던 자
⑤ 가족, 활동보조인 등 보호자(동반 탑승 시에 한함)
⑥ 일시적 장애가 있는 자 중 3차 의료기관(상급종합병원)의 전문의 진단서 제출자
※ 단, 진단서에 “휠체어 사용이 없이는 이동이 어려운 자” 및 ""치료기간""이 반드시 명시되어야 하며, 진료 및 치료 목적으로만 이용 가능(자세한 내용은 ‘
일시적 장애인 이용안내
’ 참고)
운전원 직무범위는 특별교통수단의 운행 및 「서울특별시 교통약자의 이동편의 증진에 관한 조례」제14조 제5항에 따른 장애인 승객 승하차 보조에 한하며,
승객의 인계․인수는 포함되지 않으며
, 장애인 단독탑승 시
운행 도중 위험을 야기할 수 있는 행위를 한 경우 향후 단독탑승이 제한될 수 있음",1339,receipt,서울시설공단 장애인콜택시 이용기준,https://www.sisul.or.kr/open_content/calltaxi/introduce/receipt.jsp,BeautifulSoup,,,,4c8260e100715c618d2067ef13d01344,2026-07-24 20:51:31
