faq_id,keyword,keyword_order
1,매각절차,1
1,차량,2
1,매각,3
1,서울특별시,4
1,노후화된,5
2,콜센터,1
2,복지카드,2
2,등록,3
2,최초,4
2,않은,5
3,장애,1
3,보행상,2
3,정신적,3
3,단독탑승,4
3,휠체어,5
4,차량,1
4,시간,2
4,대기시간,3
4,배차,4
4,연결,5
5,채용,1
5,서울특별시,2
5,공고일,3
5,운전원,4
5,사업여건,5
6,시간,1
6,까지,2
6,마다,3
6,운행시간,4
6,요금수준,5
7,접수,1
7,접수방법,2
7,콜센터,3
7,방식,4
7,바로콜,5
8,운행,1
8,운행지역,2
8,하고,3
8,인접지역,4
8,수도권지역,5
9,정보,1
9,고객,2
9,개인정보,3
9,또는,4
9,장애정,5
10,장애,1
10,단독탑승,2
10,보호자,3
10,이용할,4
10,있는,5
11,수도권,1
11,관외,2
11,추가,3
11,어느,4
11,지역,5
12,고객,1
12,접수,2
12,배차,3
12,휠체어,4
12,시각,5
13,접수,1
13,시각,2
13,시간대별,3
13,동일,4
13,전화,5
14,이용요금,1
14,까지,2
14,추가요금,3
14,산정되나요,4
14,기본요금,5
15,배차,1
15,대기인원,2
15,기준,3
15,반경,4
15,배차기준,5
16,정보,1
16,버튼,2
16,출발지,3
16,선택,4
16,하실,5
17,접수한,1
17,내역,2
17,확인하고,3
17,취소하나요,4
17,인터넷,5
18,문자,1
18,콜센터,2
18,고객성명,3
18,출발지,4
18,목적지,5
19,전화,1
19,문자,2
19,홈페이지,3
19,평일,4
19,시간대별,5
20,탑승,1
20,반려동물,2
20,차량,3
20,운반상자,4
20,목적지,5
21,가능합니다,1
21,출발지,2
21,설정,3
21,보호자,4
21,목적지,5
